name,artists_names,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
Efecto,Bad Bunny,89,2022-05-06,0.801,0.475,7.0,-8.797,0.0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4,98,reggaeton,67091189,sad
SNAP,Rosa Linn,89,2022-03-19,0.565,0.636,0.0,-8.198,1.0,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,4,75,alt z,239302,sad
Ojitos Lindos,Bad Bunny,89,2022-05-06,0.647,0.686,3.0,-5.745,0.0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4,98,reggaeton,67091189,sad
Fin de Semana,Oscar Maydon,89,2023-01-13,0.699,0.541,0.0,-4.943,1.0,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,4,78,corrido,306750,sad
Gato de Noche,Ñengo Flow,89,2022-12-22,0.892,0.662,8.0,-3.894,1.0,0.162,0.169,1.24e-06,0.363,0.607,93.976,227013,4,83,latin hip hop,4351004,calm
People,Libianca,89,2022-12-06,0.573,0.422,10.0,-7.621,0.0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,184791,5,75,,130844,sad
Que Vuelvas,Carin Leon,89,2022-12-09,0.491,0.643,10.0,-4.309,1.0,0.0442,0.187,0.0,0.109,0.779,162.469,169419,4,85,corrido,5934383,sad
10:35,Tiësto,89,2022-11-03,0.696,0.793,8.0,-5.733,1.0,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,4,86,big room,6816046,energetic
Tití Me Preguntó,Bad Bunny,89,2022-05-06,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4,98,reggaeton,67091189,calm
Tormenta (feat. Bad Bunny),Gorillaz,89,2023-02-24,0.637,0.768,0.0,-6.468,1.0,0.056,0.458,0.00192,0.378,0.297,94.982,193464,4,84,alternative hip hop,10267756,energetic
MERCHO,LiL CaKe,89,2022-12-16,0.838,0.79,6.0,-1.602,0.0,0.108,0.431,3.33e-06,0.184,0.962,92.927,161452,4,74,trap argentino,103048,energetic
Miss You,Oliver Tree,89,2022-08-05,0.587,0.742,6.0,-6.64,0.0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,4,81,alternative hip hop,2238718,energetic
Sweater Weather,The Neighbourhood,89,2013-04-19,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4,85,modern alternative rock,12085017,energetic
I Was Never There,The Weeknd,88,2018-03-30,0.323,0.737,10.0,-4.008,1.0,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4,98,canadian contemporary r&b,62165751,sad
Leão,Marília Mendonça,88,2022-12-09,0.743,0.865,6.0,-3.897,1.0,0.0315,0.449,3.05e-06,0.297,0.794,129.999,166775,4,84,arrocha,29903066,happy
Yandel 150,Yandel,88,2023-01-13,0.783,0.729,6.0,-3.549,0.0,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148,4,83,latin hip hop,6769778,calm
Last Night,Morgan Wallen,88,2023-01-31,0.517,0.675,6.0,-5.382,1.0,0.0357,0.459,0.0,0.151,0.518,203.853,163855,4,93,contemporary country,5428604,sad
Late Night Talking,Harry Styles,88,2022-05-20,0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,90,pop,26880130,calm
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,88,2023-02-05,0.686,0.897,11.0,-7.18,0.0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139,4,88,melodic rap,14848663,energetic
Nonsense,Sabrina Carpenter,88,2022-07-15,0.74,0.697,8.0,-4.912,1.0,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4,80,dance pop,5207818,calm
Shorty Party,Cartel De Santa,88,2023-03-04,0.928,0.468,2.0,-8.196,1.0,0.364,0.328,4.27e-06,0.0986,0.47,96.006,265000,4,82,latin hip hop,13838960,calm
on the street (with J. Cole),j-hope,88,2023-03-03,0.681,0.821,11.0,-5.12,0.0,0.131,0.532,0.00111,0.0921,0.813,94.074,214701,4,78,k-pop,14209566,energetic
Feliz Cumpleaños Ferxxo,Feid,88,2022-09-14,0.865,0.573,5.0,-5.501,1.0,0.0678,0.0863,0.0,0.305,0.563,94.999,155960,4,93,colombian pop,4443557,sad
Dandelions,Ruth B.,88,2017-05-05,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,76,alt z,2796322,sad
METAMORPHOSIS,INTERWORLD,88,2021-11-25,0.593,0.641,7.0,-12.727,0.0,0.0992,0.426,0.901,0.122,0.147,175.014,142839,4,76,phonk brasileiro,200102,calm
Save Your Tears,The Weeknd,88,2020-03-20,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4,98,canadian contemporary r&b,62165751,energetic
LET GO,Central Cee,88,2022-12-15,0.735,0.449,2.0,-9.933,0.0,0.383,0.859,0.0,0.213,0.514,146.016,175890,4,82,melodic drill,2799063,calm
Without Me,Eminem,87,2002-05-26,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4,92,detroit hip hop,68427443,happy
X SI VOLVEMOS,KAROL G,87,2023-02-03,0.793,0.78,1.0,-4.247,0.0,0.249,0.341,0.0,0.111,0.576,178.046,203360,4,93,reggaeton,33856064,energetic
Lavender Haze,Taylor Swift,87,2022-10-21,0.733,0.436,10.0,-10.489,1.0,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,4,100,pop,71194980,sad
Murder In My Mind,Kordhell,87,2022-01-21,0.712,0.972,10.0,-0.514,1.0,0.112,0.00547,7.06e-05,0.128,0.568,119.966,145000,4,80,drift phonk,628977,energetic
Reminder,The Weeknd,87,2016-11-25,0.706,0.505,8.0,-6.923,1.0,0.193,0.142,0.0,0.164,0.388,160.053,218880,4,98,canadian contemporary r&b,62165751,calm
Perfect,Ed Sheeran,87,2017-03-03,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,92,pop,110923487,sad
The Color Violet,Tory Lanez,87,2021-12-10,0.645,0.534,6.0,-10.8,0.0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,4,82,canadian hip hop,5338300,sad
La Jumpa,Arcángel,87,2022-11-30,0.713,0.703,8.0,-5.769,1.0,0.194,0.298,0.0,0.321,0.576,123.06,255693,4,86,latin hip hop,10386390,energetic
Someone You Loved,Lewis Capaldi,87,2019-05-17,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,83,pop,10758291,sad
Low,SZA,87,2022-12-09,0.698,0.546,0.0,-7.234,0.0,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,4,93,pop,11705818,sad
Rara Vez,Taiu,87,2023-02-08,0.838,0.708,5.0,-4.668,0.0,0.166,0.176,0.0,0.343,0.96,119.984,128677,4,75,,9156,calm
Mas Rica Que Ayer,Anuel AA,87,2023-03-02,0.818,0.666,11.0,-5.319,1.0,0.0759,0.343,0.0,0.0922,0.529,93.95,199149,4,89,reggaeton,27967083,sad
Hype Boy,NewJeans,87,2022-08-01,0.593,0.935,4.0,-3.43,0.0,0.225,0.268,0.0,0.286,0.783,99.976,179027,4,84,k-pop,2902877,energetic
Call Out My Name,The Weeknd,87,2018-03-30,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3,98,canadian contemporary r&b,62165751,sad
Bebe Dame,Fuerza Regida,87,2022-12-16,0.537,0.602,7.0,-4.631,1.0,0.0458,0.296,0.0,0.0715,0.753,157.437,271862,4,87,corrido,2819412,sad
Love Again,The Kid LAROI,87,2023-01-27,0.662,0.398,11.0,-6.691,0.0,0.0275,0.716,0.0,0.111,0.468,107.001,145850,4,84,australian hip hop,4464270,sad
When I Was Your Man,Bruno Mars,87,2012-12-07,0.612,0.28,0.0,-8.648,1.0,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,89,dance pop,47341543,sad
Nobody Gets Me,SZA,87,2022-12-09,0.358,0.284,7.0,-8.285,1.0,0.0285,0.805,0.0,0.183,0.276,99.796,180853,3,93,pop,11705818,sad
MIENTRAS ME CURO DEL CORA,KAROL G,87,2023-02-24,0.523,0.477,0.0,-6.786,1.0,0.392,0.855,0.0,0.146,0.57,79.921,164387,4,93,reggaeton,33856064,calm
Yellow,Coldplay,87,2000-07-10,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,89,permanent wave,43047939,sad
Marisola - Remix,Cris Mj,87,2022-12-15,0.765,0.872,1.0,-5.863,1.0,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,237474,4,80,mambo chileno,1099073,energetic
Monotonía,Shakira,87,2022-10-19,0.873,0.695,0.0,-4.207,0.0,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805,4,92,colombian pop,28191070,calm
Die For You,The Weeknd,87,2016-11-25,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,4,98,canadian contemporary r&b,62165751,sad
El Gordo Trae El Mando,Chino Pacas,87,2023-01-27,0.736,0.8,7.0,-5.38,0.0,0.0525,0.179,0.0,0.0498,0.961,140.253,112087,3,77,corrido,164701,energetic
Heaven,Niall Horan,87,2023-02-17,0.571,0.761,5.0,-3.485,1.0,0.0261,0.0708,0.0,0.331,0.681,91.991,186043,4,79,dance pop,9362366,happy
lovely (with Khalid),Billie Eilish,87,2018-04-19,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,89,art pop,78663825,sad
Something in the Orange,Zach Bryan,86,2022-04-22,0.369,0.192,4.0,-12.151,0.0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,84,oklahoma country,1281804,sad
Set Me Free Pt.2,Jimin,86,2023-03-17,0.585,0.815,0.0,-4.165,0.0,0.0565,0.115,0.0,0.124,0.564,132.09,200930,4,86,,4692650,energetic
River,Miley Cyrus,86,2023-03-10,0.613,0.803,9.0,-5.171,1.0,0.0367,0.000525,0.000333,0.189,0.461,127.989,162973,4,92,pop,20250106,energetic
One Kiss (with Dua Lipa),Calvin Harris,86,2018-04-06,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,87,dance pop,23290302,energetic
Shut up My Moms Calling,Hotel Ugly,86,2020-02-10,0.485,0.409,9.0,-10.711,0.0,0.101,0.325,0.0,0.103,0.376,138.419,164571,4,76,,257848,energetic
La Jumpa,Arcángel,86,2022-12-01,0.887,0.234,9.0,-14.52,1.0,0.178,0.111,0.67,0.13,0.197,140.02,196800,4,86,latin hip hop,10386390,calm
Revenge,XXXTENTACION,86,2017-08-25,0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4,88,emo rap,41056818,calm
Trance (with Travis Scott & Young Thug),Metro Boomin,86,2022-12-02,0.571,0.549,1.0,-7.38,0.0,0.404,0.18,0.0,0.168,0.447,119.497,194787,4,90,rap,3983089,calm
LA INOCENTE,Mora,86,2022-04-01,0.757,0.789,5.0,-3.46,0.0,0.0583,0.307,0.0,0.0717,0.464,91.911,202174,4,84,trap latino,1635636,energetic
CAIRO,KAROL G,86,2022-11-13,0.951,0.692,5.0,-4.038,0.0,0.312,0.472,0.000182,0.0894,0.431,115.047,201280,4,93,reggaeton,33856064,calm
ANTIFRAGILE,LE SSERAFIM,86,2022-10-17,0.882,0.797,10.0,-3.299,0.0,0.0819,0.0821,0.0,0.113,0.824,105.025,184444,4,76,,1838888,energetic
The Hills,The Weeknd,86,2015-08-28,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,98,canadian contemporary r&b,62165751,sad
Sunroof,Nicky Youre,86,2021-12-03,0.768,0.714,10.0,-5.11,1.0,0.0401,0.352,0.0,0.15,0.842,131.443,163026,4,73,pop,136344,calm
Heather,Conan Gray,86,2020-03-20,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,81,bedroom pop,7777968,sad
Heart To Heart,Mac DeMarco,86,2019-05-10,0.901,0.136,8.0,-16.127,0.0,0.102,0.667,0.354,0.109,0.643,150.076,211140,4,82,edmonton indie,3786712,calm
WANDA,Quevedo,86,2023-01-20,0.724,0.631,4.0,-4.42,0.0,0.0686,0.249,0.0,0.213,0.957,176.076,160909,4,89,rap canario,1556300,calm
Sial,Mahalini,86,2023-01-23,0.563,0.431,2.0,-6.784,1.0,0.039,0.89,2.9e-06,0.123,0.196,120.014,243725,4,76,indonesian pop,4310743,sad
Superman,Eminem,86,2002-05-26,0.802,0.755,4.0,-3.138,0.0,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,4,92,detroit hip hop,68427443,energetic
Maan Meri Jaan,King,86,2022-10-12,0.698,0.505,6.0,-8.242,0.0,0.0356,0.354,0.0,0.0995,0.396,95.868,194654,4,76,hindi hip hop,2510766,sad
Neverita,Bad Bunny,86,2022-05-06,0.876,0.498,10.0,-7.511,1.0,0.0478,0.0706,0.0,0.143,0.428,122.016,173119,4,98,reggaeton,67091189,sad
