track_uri,name,artists_names,song_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,87,2018-03-30,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3,98,canadian contemporary r&b,62165751,sad
open.spotify.com/track/0mzsLrUNazBaRfYZfjmpSV,Bebe Dame,Fuerza Regida,87,2022-12-16,0.537,0.602,7.0,-4.631,1.0,0.0458,0.296,0.0,0.0715,0.753,157.437,271862,4,87,corrido,2819412,happy
open.spotify.com/track/4sx6NRwL6Ol3V6m9exwGlQ,Love Again,The Kid LAROI,87,2023-01-27,0.662,0.398,11.0,-6.691,0.0,0.0275,0.716,0.0,0.111,0.468,107.001,145850,4,84,australian hip hop,4464270,calm
open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,87,2012-12-07,0.612,0.28,0.0,-8.648,1.0,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,89,dance pop,47341543,calm
open.spotify.com/track/5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,87,2022-12-09,0.358,0.284,7.0,-8.285,1.0,0.0285,0.805,0.0,0.183,0.276,99.796,180853,3,93,pop,11705818,sad
open.spotify.com/track/6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,KAROL G,87,2023-02-24,0.523,0.477,0.0,-6.786,1.0,0.392,0.855,0.0,0.146,0.57,79.921,164387,4,93,reggaeton,33856064,calm
open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,87,2000-07-10,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,89,permanent wave,43047939,energetic
open.spotify.com/track/0NO2zL0kw8sGGnaMvHKAZF,Marisola - Remix,Cris Mj,87,2022-12-15,0.765,0.872,1.0,-5.863,1.0,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,237474,4,80,mambo chileno,1099073,happy
open.spotify.com/track/6G12ZafqofSq7YtrMqUm76,Monotonía,Shakira,87,2022-10-19,0.873,0.695,0.0,-4.207,0.0,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805,4,92,colombian pop,28191070,happy
open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,87,2016-11-25,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,4,98,canadian contemporary r&b,62165751,sad
open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,Chino Pacas,87,2023-01-27,0.736,0.8,7.0,-5.38,0.0,0.0525,0.179,0.0,0.0498,0.961,140.253,112087,3,77,corrido,164701,happy
open.spotify.com/track/1yHVHoz6Ny29gbbWJYVnFt,Heaven,Niall Horan,87,2023-02-17,0.571,0.761,5.0,-3.485,1.0,0.0261,0.0708,0.0,0.331,0.681,91.991,186043,4,79,dance pop,9362366,happy
open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,87,2018-04-19,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,89,art pop,78663825,sad
open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,86,2022-04-22,0.369,0.192,4.0,-12.151,0.0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,84,oklahoma country,1281804,sad
open.spotify.com/track/59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,Jimin,86,2023-03-17,0.585,0.815,0.0,-4.165,0.0,0.0565,0.115,0.0,0.124,0.564,132.09,200930,4,86,,4692650,energetic
open.spotify.com/track/04CqLjewJiSAqM210vZAmT,River,Miley Cyrus,86,2023-03-10,0.613,0.803,9.0,-5.171,1.0,0.0367,0.000525,0.000333,0.189,0.461,127.989,162973,4,92,pop,20250106,energetic
open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,86,2018-04-06,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,87,dance pop,23290302,energetic
open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Hotel Ugly,86,2020-02-10,0.485,0.409,9.0,-10.711,0.0,0.101,0.325,0.0,0.103,0.376,138.419,164571,4,76,,257848,calm
