Rank,Title,Artist,Featuring,Last,Peak,Weeks,Released,Age,Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration
36,I Can Do It With A Broken Heart,Taylor Swift,,33,3,18,2024-04-18,19,86,0.701,0.751,0,-8.39,0.0502,0.123,0,0.15,0.22,129.994,218004
37,Wanna Be,GloRilla & Megan Thee Stallion,,31,11,20,2024-04-05,21,69,0.919,0.629,1,-5.17,0.376,0.0226,0,0.146,0.407,135.05,156444
38,Si Antes Te Hubiera Conocido,Karol G,,34,32,9,2024-06-21,10,96,0.924,0.668,11,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027,195824
39,Stick Season,Noah Kahan,,35,9,47,2022-10-14,98,90,0.664,0.5,9,-6.935,0.0651,0.799,0,0.0966,0.801,117.896,182346
40,What Don't Belong To Me,Post Malone,,-0,40,1,2024-08-15,2,77,0.478,0.906,10,-5.278,0.0819,0.0908,0,0.145,0.552,169.986,207176
41,Slow It Down,Benson Boone,,38,34,22,2024-03-21,23,76,0.432,0.583,8,-4.682,0.0687,0.174,0,0.0933,0.544,181.489,161831
42,Finer Things,Post Malone,Hank Williams Jr.,-0,42,1,2024-08-15,2,75,0.629,0.937,5,-3.477,0.0378,0.00519,0,0.389,0.649,123.968,185533
43,Red Wine Supernova,Chappell Roan,,41,41,12,2023-09-22,49,88,0.657,0.82,9,-4.448,0.0441,0.0176,0,0.0847,0.709,124.041,192720
44,TGIF,GloRilla,,43,28,9,2024-06-21,10,79,0.891,0.526,8,-6.52,0.368,0.0787,0.0000304,0.133,0.203,140.06,164571
45,Stargazing,Myles Smith,,44,40,15,2024-05-10,16,92,0.635,0.601,1,-6.129,0.0295,0.246,0,0.11,0.332,123.994,172533
46,It's Up,"Drake, Young Thug & 21 Savage",,28,28,2,2024-08-10,3,82,0.782,0.719,1,-4.863,0.115,0.0311,0,0.157,0.304,139.941,278000
47,We Can't Be Friends (Wait For Your Love),Ariana Grande,,42,1,24,2024-03-08,25,89,0.645,0.646,5,-8.334,0.0427,0.0615,0.0000304,0.074,0.295,115.842,228639
48,The Door,Teddy Swims,,48,48,12,2023-09-15,50,86,0.731,0.861,8,-5.483,0.0532,0.0193,0,0.123,0.759,127.922,212648
49,360,Charli xcx,,46,41,11,2024-06-07,12,88,0.857,0.62,0,-8.13,0.0472,0.646,0.244,0.0934,0.796,120.042,133805
